Protein_name	Condition1_Rep_1_Frac1	Condition1_Rep_1_Frac2	Condition1_Rep_1_Frac3	Condition1_Rep_1_Frac4	Condition1_Rep_1_Frac5	Condition1_Rep_1_Frac6	Condition1_Rep_1_Frac7	Condition1_Rep_1_Frac8	Condition1_Rep_1_Frac9	Condition1_Rep_1_Frac10	Condition1_Rep_1_Frac11	Condition1_Rep_1_Frac12	Condition1_Rep_1_Frac13	Condition1_Rep_1_Frac14	Condition1_Rep_1_Frac15	Condition1_Rep_1_Frac16	Condition1_Rep_1_Frac17	Condition1_Rep_1_Frac18	Condition1_Rep_1_Frac19	Condition1_Rep_1_Frac20	Condition1_Rep_1_Frac21	Condition1_Rep_1_Frac22	Condition1_Rep_1_Frac23	Condition1_Rep_1_Frac24	Condition1_Rep_1_Frac25	Condition1_Rep_1_Frac26	Condition1_Rep_1_Frac27	Condition1_Rep_1_Frac28	Condition1_Rep_1_Frac29	Condition1_Rep_1_Frac30	Condition1_Rep_1_Frac31	Condition1_Rep_1_Frac32	Condition1_Rep_1_Frac33	Condition1_Rep_1_Frac34	Condition1_Rep_1_Frac35	Condition1_Rep_1_Frac36	Condition1_Rep_1_Frac37	Condition1_Rep_1_Frac38	Condition1_Rep_1_Frac39	Condition1_Rep_1_Frac40	Condition2_Rep_1_Frac1	Condition2_Rep_1_Frac2	Condition2_Rep_1_Frac3	Condition2_Rep_1_Frac4	Condition2_Rep_1_Frac5	Condition2_Rep_1_Frac6	Condition2_Rep_1_Frac7	Condition2_Rep_1_Frac8	Condition2_Rep_1_Frac9	Condition2_Rep_1_Frac10	Condition2_Rep_1_Frac11	Condition2_Rep_1_Frac12	Condition2_Rep_1_Frac13	Condition2_Rep_1_Frac14	Condition2_Rep_1_Frac15	Condition2_Rep_1_Frac16	Condition2_Rep_1_Frac17	Condition2_Rep_1_Frac18	Condition2_Rep_1_Frac19	Condition2_Rep_1_Frac20	Condition2_Rep_1_Frac21	Condition2_Rep_1_Frac22	Condition2_Rep_1_Frac23	Condition2_Rep_1_Frac24	Condition2_Rep_1_Frac25	Condition2_Rep_1_Frac26	Condition2_Rep_1_Frac27	Condition2_Rep_1_Frac28	Condition2_Rep_1_Frac29	Condition2_Rep_1_Frac30	Condition2_Rep_1_Frac31	Condition2_Rep_1_Frac32	Condition2_Rep_1_Frac33	Condition2_Rep_1_Frac34	Condition2_Rep_1_Frac35	Condition2_Rep_1_Frac36	Condition2_Rep_1_Frac37	Condition2_Rep_1_Frac38	Condition2_Rep_1_Frac39	Condition2_Rep_1_Frac40	Condition3_Rep_1_Frac1	Condition3_Rep_1_Frac2	Condition3_Rep_1_Frac3	Condition3_Rep_1_Frac4	Condition3_Rep_1_Frac5	Condition3_Rep_1_Frac6	Condition3_Rep_1_Frac7	Condition3_Rep_1_Frac8	Condition3_Rep_1_Frac9	Condition3_Rep_1_Frac10	Condition3_Rep_1_Frac11	Condition3_Rep_1_Frac12	Condition3_Rep_1_Frac13	Condition3_Rep_1_Frac14	Condition3_Rep_1_Frac15	Condition3_Rep_1_Frac16	Condition3_Rep_1_Frac17	Condition3_Rep_1_Frac18	Condition3_Rep_1_Frac19	Condition3_Rep_1_Frac20	Condition3_Rep_1_Frac21	Condition3_Rep_1_Frac22	Condition3_Rep_1_Frac23	Condition3_Rep_1_Frac24	Condition3_Rep_1_Frac25	Condition3_Rep_1_Frac26	Condition3_Rep_1_Frac27	Condition3_Rep_1_Frac28	Condition3_Rep_1_Frac29	Condition3_Rep_1_Frac30	Condition3_Rep_1_Frac31	Condition3_Rep_1_Frac32	Condition3_Rep_1_Frac33	Condition3_Rep_1_Frac34	Condition3_Rep_1_Frac35	Condition3_Rep_1_Frac36	Condition3_Rep_1_Frac37	Condition3_Rep_1_Frac38	Condition3_Rep_1_Frac39	Condition3_Rep_1_Frac40
Protein0124	35005000	150950000	30718000	29108000	90943000	1950300	4720000	72260000	10041000	34348000	21641000	143620000	73189000	21049000	30336000	1735700000	274850000	567330000	929770000	1441700000	2119800000	14083000000	30877000000	33283000000	11414000000	20008000000	16060000000	8917000000	1306800000	1004200000	409930000	2894000000	416970000	317590000	769820000	1404000000	642180000	775910000	1596700000	4407400000	13082000	17067000	9904400	3700100	0	1623900	4033500	0	1809700	0	2580100	7995800	57282000	0	55449000	10550000	2888300	0	21259000	55027000	483280000	1331000000	1941500000	4090400000	2661400000	16244000000	3860300000	96384000000	1280500000	529590000	1138600000	670070000	684360000	283760000	128490000	149310000	90812000	103840000	70954000	458640000	120070000	9317600	7164100	14630000	6978800	66044000	0	2596900	0	0	0	0	0	8182300	0	0	28521000	0	0	308830000	478270000	2465400000	3926900000	7000100000	9890200000	6809200000	9108700000	6649100000	4088200000	3819600000	2548700000	2264300000	2068700000	988270000	585220000	568580000	632560000	281260000	126200000	76543000
Protein0125	0	0	0	0	0	0	0	7820200	6361000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6025100	82707000	231480000	100470000	119380000	130500000	112290000	8400500	18161000	0	0	18954000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3702200	24016000	10509000	49030000	14326000	25380000	3455700	11301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3041300	2987000	15769000	1016700	2536900	0	0
Protein0126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17992000	4267400	0	38605000	104000000	36057000	523090000	1287700000	863180000	144830000	305620000	258260000	24816000	0	0	0	0	0	0	0	5220000	2948400	3153400	2725400	5235200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5594400	82024000	123780000	88208000	373150000	166080000	509700000	134650000	90820000	5365200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109740000	26744000	294820000	262710000	122360000	178850000	11217000	8089500	9170500	0	0	0	0	0	0	0	0	0	0	0	0
Protein0127	0	0	0	0	0	0	0	0	0	4825500	8582000	3426800	17168000	10397000	0	8850800	0	3453900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6728200	8331800	101260000	47019000	47333000	45211000	15443000	14344000	9037000	7015400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2975400	15269000	51114000	48536000	17117000	12716000	0	16310000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0128	0	0	0	0	0	0	0	0	2603600	8361200	14261000	76470000	71780000	25034000	23348000	141930000	35148000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6714900	10719000	107610000	60407000	107730000	94352000	38003000	14885000	35627000	22029000	5669800	10220000	0	6664500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6888700	11136000	33660000	14180000	29855000	28503000	28745000	106640000	24683000	0	8477700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0129	13776000000	47556000000	52664000000	28323000000	20042000000	9957000000	10834000000	11510000000	7202500000	8651800000	4736500000	2985300000	2933600000	1160100000	800380000	1089400000	506640000	638830000	207630000	183350000	220170000	302920000	433180000	270590000	544620000	201480000	209690000	50705000	47568000	74769000	31185000	62586000	194450000	90775000	53428000	57756000	99871000	347550000	708260000	1410100000	16945000000	45664000000	25655000000	48655000000	39095000000	21027000000	25431000000	16423000000	17028000000	15309000000	6429300000	4978700000	3333200000	1145600000	1881000000	1087500000	856630000	492110000	761550000	414670000	502770000	220620000	273670000	177140000	259630000	113140000	65100000	0	6559100	9700400	24330000	23536000	29916000	40162000	53862000	0	76474000	131970000	249200000	289730000	5901600000	11271000000	14912000000	22601000000	11347000000	10334000000	8339700000	5907600000	2466100000	2454300000	1623800000	1133200000	421470000	1017700000	405190000	204170000	20533000	59725000	21529000	0	11804000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0130	0	0	0	0	0	0	0	0	1852000	45877000	226560000	359450000	1494700000	375750000	410240000	706460000	141770000	427620000	57313000	71413000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024900	6192000	158640000	83220000	260800000	318830000	173570000	368340000	441780000	321180000	71268000	324480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1545500	19807000	28036000	205680000	313430000	380260000	261620000	160150000	54446000	140760000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0131	53850000	232380000	117050000	56086000	58901000	6396700	8603800	103400000	16110000	43857000	36065000	18601000	44598000	0	0	78914000	34207000	72642000	24706000	19682000	0	0	25717000	19550000	14922000	43170000	26879000	0	0	0	0	0	0	1622300	8712500	12525000	22621000	56721000	110530000	153190000	476240000	689780000	271620000	421950000	299480000	345870000	375080000	545210000	364250000	5244900000	135380000	281150000	225010000	12452000	96033000	56382000	130040000	56470000	51959000	8023600	0	9216300	22364000	32487000	23674000	44677000	25727000	3884200	2792600	1825400	0	2202000	11862000	8555200	8341600	14576000	4857300	24530000	55406000	154090000	11632000	17854000	16622000	18371000	7054800	21844000	7796000	2134600	0	0	0	0	0	0	0	7339600	10844000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7053400	6027400	10296000	0	8167900
Protein0132	0	0	0	7160300	8531900	4966800	8596200	13944000	0	0	0	12945000	25017000	6340000	8475100	21191000	0	97939000	5366800	12731000	11000000	47663000	87348000	26906000	433780000	346210000	62105000	7973600	5656800	130300000	17367000	20847000	59000000	33509000	43269000	33947000	20042000	13300000	0	33062000	0	11534000	32172000	21569000	19172000	7116000	16117000	6621400	7890200	20246000	0	4513600	4246100	0	7229000	9623300	4752700	3695800	9056200	0	46959000	17297000	17265000	0	9094200	6507500	9044600	0	0	0	0	0	0	0	0	19238000	20845000	9283600	12954000	0	15571000	31041000	23074000	26786000	17712000	26279000	5808300	13182000	2793800	1867200	0	0	0	0	3146400	0	0	0	0	0	7869400	0	0	0	51903000	7433800	7112300	3808800	17590000	19245000	7543200	11800000	6941500	0	0	0	0	0	0	0
Protein0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929680	0	0	0	9484500	19586000	24348000	45534000	61390000	22074000	0	7648600	11806000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6917100	0	0	0	0	0	0	0	0	0	5274100	4334900	0	5926600	12003000	10998000	35886000	279500000	483270000	1534700000	967400000	428370000	346840000	114370000	234210000	46241000	196580000	0	0	0	0	0	0	0	0	3129800	16622000	65287000	56863000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6556600	0	5085500	1042000000	96229000	232110000	218190000	107040000	96504000	12357000	4331100	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5834800	3452500	0	0	0	90569000	16762000	14067000	71902000	29333000	26792000	20287000	6232800	0	0	0	0	0	0	0	0	0	0	0	3010500	28160000	0	2878000	0	0	0	0	0	0	0	0	6781500	0	0	0	0	0	0	0	0	0	0	7922200	0	0	3664500	23068000	23416000	30248000	36336000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0135	7362700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7578600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13031000	8268700	4902400	13978000	7847100	3860100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4732400	3571200	3404900	0	0	0	0	0	0	0	0
Protein0136	23998000	26517000	12991000	6858600	6784700	2539400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12410000	83859000	37886000	63028000	62172000	84703000	6317700	13983000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219590000	18487000	11672000	30472000	41917000	70953000	82492000	51642000	46642000	3887300	7002800	0	0	0	1813400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160800	3868700	8776300	8343300	14052000	6447200
Protein0137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5706200	0	7046800	6244500	10516000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43937000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0138	0	0	0	4014300	36019000	5107600	4064200	58399000	14164000	33272000	40557000	46321000	22080000	8842700	0	54621000	0	0	7508500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11800000	5844300	7236200	36008000	25074000	79168000	37529000	74210000	27799000	50243000	35487000	25472000	19391000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6437800	18200000	5637000	2876300	5200900	4825700	9005300	6242500	4794300	0	0	3742200	0	0	0	2692700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6716800	6506800	21501000	110590000	4462000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750700	1246500	3525800	40620000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0140	0	0	0	0	0	0	0	21206000	2581000	0	1592600	0	83622000	5496200	9049900	113260000	20620000	378080000	3377900	15868000	22437000	208770000	275490000	153500000	2033900000	5777500000	390100000	7608800	27335000	829020000	102570000	342440000	1790400000	1565600000	4001000000	8515800000	1259300000	759990000	454210000	2093200000	2148800	27266000	7387600	30212000	7966800	0	38254000	21298000	26708000	528320000	2133600	22549000	8005300	22705000	30433000	39668000	14746000	16750000	90715000	156550000	1496500000	202380000	137590000	70585000	51689000	161730000	133400000	4092800	25838000	25424000	24328000	151100000	332490000	250730000	378230000	2498300000	3300600000	1817700000	2421000000	734820000	77297000	201160000	51301000	33879000	20881000	171390000	11968000	26975000	2264900	16988000	138040000	4662000	1821400	4588400	4242800	6029000	0	9742600	3565600	0	127500000	532650000	305280000	665570000	11020000000	496500000	934450000	130230000	442170000	453810000	159240000	462530000	1451000000	2019200000	381240000	629390000	1892200000	867190000	461330000	305840000
Protein0141	3633900	19955000	19956000	12149000	14268000	30861000	16480000	19393000	6225100	9972900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5829100	0	4569600	6802800	3322900	7671400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0142	3904200000	11372000000	6322200000	5848000000	10347000000	756350000	288200000	921950000	38045000	56782000	33689000	105540000	109040000	0	0	153250000	22977000	0	4150600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1424800	2484700	6617200	21824000	94275000	6446900000	19006000000	14319000000	10589000000	7129700000	8736500000	1952500000	2053600000	204150000	348070000	99698000	31473000	5124300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97720000	1947000000	3326200000	1480400000	2170600000	1474900000	49478000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0143	16953000	15069000	6745900	5339600	0	3200800	6650000	22867000	18091000	20184000	7517900	1967800	10564000	2444400	3887400	8785200	12825000	51350000	0	0	27674000	65575000	88662000	36162000	260320000	171490000	182450000	73301000	143440000	2504400000	1887000000	6993900000	74104000000	1.54E+11	2.62E+11	2.98E+11	2.69E+11	1.95E+11	1.33E+11	76384000000	12415000	16155000	7716500	5550100	4289100	59435000	28916000	5831400	5826200	4598100	0	0	0	0	0	3998000	0	0	22961000	25273000	58584000	34651000	44907000	23674000	49263000	405160000	67363000	5368500	63984000	123970000	271040000	5566900000	20249000000	47495000000	1.14E+11	97838000000	83590000000	67495000000	41284000000	16935000000	0	7284100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10726000	13189000	25093000	4643400	60409000	91848000	403840000	2232500000	12731000000	44771000000	48741000000	54150000000	57450000000	39529000000	17596000000	9036800000
Protein0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26535000	0	0	0	0	0	0	7861100	19135000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0145	3317300	20213000	3845900	2097700	1574500	541930	490780	5902900	986110	0	2829000	1522100	2520700	0	0	0	0	22242000	6962100	2645700	0	0	5059400	0	6802000	12170000	5138000	1858500	1697900	6455900	1716000	1394500	4562500	2426600	6238100	11102000	44750000	49312000	60038000	65147000	64953000	81628000	15034000	17902000	5294300	3657400	5601800	5228800	5386600	0	0	0	0	0	0	0	0	1876500	0	0	0	0	0	8403600	10179000	37332000	39028000	2365700	16904000	8304500	0	0	0	0	3776900	7990800	24538000	52003000	90016000	27735000	24424000	38528000	10210000	7564200	3046800	1426000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2842200	35921000	34826000	26756000	59888000	19662000	22450000	3211800	5063900	4479000	3068400	6178000	8282600	8381000	6806000	4104100
Protein0146	76255000	184510000	75900000	81329000	205460000	20613000	17188000	71068000	10110000	24024000	8100200	15568000	15747000	0	0	98910000	120050000	540360000	2610800000	3456400000	349750000	1926900000	1593700000	808900000	6196400	45327000	33150000	8573600	0	0	0	0	0	1463300	3774700	13649000	9519500	11971000	10386000	33496000	83804000	105120000	56886000	85203000	64135000	187880000	68900000	119500000	31244000	33215000	31491000	10345000	4327400	0	0	0	0	5927700	25088000	50970000	253010000	157560000	9016700	82062000	0	42847000	0	57468000	0	0	0	0	0	0	0	0	0	0	21473000	7345900	0	11433000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42385000	0	35272000	2743000000	136330000	343980000	356370000	48610000	168830000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35728000	48046000	272500000	1956600000	2612000000	357650000	2252700000	1941200000	1002800000	38616000	82102000	50100000	5534800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59970000	165670000	266440000	33848000	141270000	13646000	80906000	17910000	239700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1203900000	0	6713800	23891000	0	18476000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15607000	39761000	351120000	1075400000	629790000	162160000	47062000	39718000	93813000	0	0	0	0	0	0	0	46528000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259200000	115690000	653810000	859730000	2477400000	353020000	133960000	127870000	5063500	11513000	2981800	0	0	0	0	0	8213400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9345000	14965000	327060000	69601000	2617800	0	4550400	5513500	11343000	6810000	10624000	0	0	0	0
Protein0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2435400	2501000	4386700	3934300	12248000	0	1955400	0	0	4731200	10515000	0	0	14265000	4408000	32262000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26755000	32362000	15214000	3279200	4784500	16854000	4996600	0	19363000	5780200	0	0	0	0	0	0	0	0	0	0	0	0	11149000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2118000	2855300	3462100	2979600	6424800	3184200	1166200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0151	63066000	169560000	116870000	63475000	124280000	38002000	43507000	134760000	48594000	118330000	118190000	85251000	188230000	85417000	156640000	1389800000	922530000	2348400000	697690000	730540000	418390000	362620000	290560000	190670000	297380000	196700000	177460000	58195000	36355000	189610000	111480000	231870000	175370000	88801000	118690000	105230000	117260000	203280000	274760000	385450000	133360000	117360000	34805000	66446000	54257000	99431000	83717000	128170000	105100000	146720000	71224000	70990000	62644000	48559000	179840000	321490000	1055100000	630490000	984690000	643470000	1238200000	738710000	430900000	418650000	330150000	294030000	246060000	297030000	55318000	27530000	42274000	55871000	80701000	52829000	62196000	81872000	113660000	153220000	215800000	135500000	436840000	441640000	279050000	217480000	130440000	118470000	60549000	66157000	38872000	49240000	49042000	43124000	32294000	361820000	641950000	1287000000	2280900000	2518500000	1375500000	1269000000	2487500000	2363700000	772360000	908240000	1229900000	606630000	689200000	206030000	230730000	153360000	134340000	75072000	85291000	206340000	74478000	68780000	84417000	49073000	77646000	54679000
Protein0152	13278000	20499000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42380000	38524000	15006000	15934000	8020200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0153	0	0	0	0	0	0	0	27516000	15192000	78439000	174520000	135310000	171010000	81890000	53334000	352990000	77527000	0	38164000	2362800	0	0	0	0	0	2165000	0	0	0	0	0	3662100	0	0	0	0	0	0	0	0	1220100	2504100	1448800	0	0	0	0	0	0	36420000	37519000	66778000	49872000	2049600	4229100	0	3319800	929020	0	0	0	0	0	0	0	5368300	2773200	73018000	1972400	536010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19968000	99411000	0	0	2762300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0154	0	0	0	0	8267900	1379700	6171900	84465000	47304000	213900000	513470000	566930000	675410000	256280000	208590000	1046900000	349380000	276600000	62159000	14947000	0	4196600	36137000	39311000	1380600	38107000	142040000	101620000	39491000	6444900	28936000	44338000	1417400	14057000	48447000	119900000	47689000	76642000	99689000	152120000	22626000	18191000	5187600	8748000	5649200	18202000	16750000	46724000	41753000	199470000	278260000	281920000	322820000	49997000	274600000	41011000	361130000	79708000	12644000	2392800	1268400	2710700	11064000	221610000	255990000	781840000	706940000	392720000	301220000	155190000	152150000	40275000	259250000	194460000	61863000	128900000	28606000	23422000	15284000	26885000	19783000	33393000	832180	0	0	7648000	8517300	5088400	3382800	3596000	11250000	25833000	19077000	34143000	0	207740000	241280000	9843600	2919600	80797000	0	17910000	71900000	177230000	118960000	248600000	196500000	482800000	313170000	44168000	88893000	57715000	59673000	330690000	117910000	125230000	117370000	83662000	19032000	3954400
Protein0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3203100	0	7295800	0	2995600	0	0	0	0	0	0	0	0	0	0	0	0	6662400	28172000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0156	370210000	899550000	578720000	764230000	5872200000	1050600000	1256600000	9975300000	829890000	2338200000	1600000000	1971100000	737680000	26508000	15467000	361500000	37826000	0	21785000	5333000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026400000	1230500000	1042100000	1796300000	1871200000	10263000000	5066700000	11527000000	2069000000	3169800000	1733700000	1015200000	260610000	0	0	0	0	0	0	0	0	0	0	64822000	40366000	140740000	47801000	47726000	0	0	0	6563600	15436000	15508000	0	0	0	0	0	0	16117000	100430000	87073000	95110000	309590000	935290000	124240000	16662000	91861000	88826000	456360000	49289000	17460000	1682700	0	19690000	848770000	0	0	266310000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0157	389280000	851410000	558920000	574840000	848380000	367930000	652830000	2131200000	1472200000	3421500000	2740800000	2351500000	3046900000	1430100000	1100700000	4252500000	2212900000	3972900000	1266200000	981100000	555940000	622630000	1044000000	544400000	894830000	622970000	652920000	278330000	203070000	238000000	202420000	169410000	284340000	353140000	345360000	428530000	546800000	658710000	959760000	1297500000	991020000	1538700000	789610000	1321200000	1196100000	1385600000	1801400000	2159100000	2982900000	4975800000	3030100000	3564200000	3538800000	2613100000	3663100000	2297800000	3572700000	1926400000	2167900000	1354800000	892550000	597740000	272530000	165100000	94707000	122230000	103210000	14924000	24068000	32669000	41054000	185300000	388530000	480010000	490060000	399050000	276180000	366430000	672970000	631970000	231470000	153780000	135310000	267950000	143800000	182710000	233290000	153680000	153760000	281140000	240750000	379440000	316470000	824440000	379020000	389570000	229060000	372060000	273210000	223620000	428010000	654730000	453890000	339030000	208160000	305670000	223760000	183240000	148280000	86369000	83148000	44548000	45377000	81266000	58012000	56809000	31490000	24257000	50820000	98800000
